,node_name,date,RPM,FUELRATE,ENGINE_LOAD,ENGTEMP,ENGOILPRES,wind_velocity,alignment_factor,signal_instance
88,"12-04, Lars Prytz",2024-07-18,0.016940858,0.020626815,0.014204325,0.031522483,0.01639052,0.010881589,0.06077223,0.2714091
89,"12-04, Lars Prytz",2024-07-22,0.008851041,0.00029661643,0.008063877,0.008914232,0.06713828,0.0010938351,0.04606128,0.255921
90,"12-04, Lars Prytz",2024-07-23,0.017771233,0.02545332,0.017971173,0.019418215,0.018161226,0.008913746,0.05273024,0.26397175
91,"12-04, Lars Prytz",2024-07-26,0.00735402,0.00029735448,0.007665188,0.020558821,0.05043983,0.0053782053,0.020638917,0.26575854
92,"12-10, Drottning Silvia",2024-03-18,0.0052329903,0.00766546,0.008558433,0.017802443,0.041043997,0.0036503046,0.07428218,0.2535266
93,"12-10, Drottning Silvia",2024-03-19,0.00902787,0.012970963,0.010262005,0.0074374895,0.018806659,0.0026359865,0.041703247,0.25030372
94,"12-10, Drottning Silvia",2024-03-20,0.0076708104,0.01540971,0.012159117,0.006993945,0.011265118,0.002714119,0.03718864,0.25343817
95,"12-10, Drottning Silvia",2024-03-21,0.004659586,0.006098011,0.0069373366,0.008062103,0.010725648,0.0029947506,0.039122336,0.25367165
96,"12-10, Drottning Silvia",2024-03-22,0.008426327,0.0134712355,0.009884017,0.007901939,0.014383152,0.0069967513,0.045837175,0.25217995
97,"12-10, Drottning Silvia",2024-03-23,0.008331863,0.0127085885,0.010440321,0.01202685,0.02795881,0.006448843,0.043688033,0.2534479
98,"12-10, Drottning Silvia",2024-03-24,0.011834052,0.017835842,0.01457828,0.012145315,0.018416075,0.004756979,0.07594102,0.2559496
99,"12-10, Drottning Silvia",2024-03-25,0.006357755,0.010308471,0.008645281,0.006480918,0.0072544185,0.0019260844,0.05724204,0.25253782
100,"12-10, Drottning Silvia",2024-03-26,0.009496631,0.016324274,0.011854646,0.0093826195,0.009823602,0.005409946,0.040596448,0.25627372
101,"12-10, Drottning Silvia",2024-03-27,0.0073832897,0.011860403,0.009558297,0.04423171,0.04529391,0.004564931,0.07030766,0.25508404
102,"12-10, Drottning Silvia",2024-03-28,0.009473663,0.014145868,0.011594617,0.009907386,0.009941971,0.007743039,0.05930525,0.25837913
103,"12-10, Drottning Silvia",2024-03-29,0.009378071,0.0127779385,0.010118921,0.008064682,0.009864688,0.0066638645,0.050244115,0.25562716
104,"12-10, Drottning Silvia",2024-03-31,0.010498373,0.016084194,0.013310724,0.0036317469,0.006838551,0.0025943022,0.021171829,0.24901308
105,"12-10, Drottning Silvia",2024-04-01,0.0103165405,0.009737135,0.009710891,0.026655558,0.0623239,0.0056188814,0.055964883,0.25687248
106,"12-10, Drottning Silvia",2024-04-02,0.010942194,0.014348825,0.010296833,0.024872635,0.08259314,0.020247547,0.101437256,0.25187272
107,"12-10, Drottning Silvia",2024-04-04,0.012183231,0.016101044,0.010791527,0.02893747,0.071810864,0.0072964197,0.048480526,0.25074124
108,"12-10, Drottning Silvia",2024-04-05,0.005501107,0.0093043605,0.008633678,0.011567412,0.015139835,0.0020961473,0.08250255,0.2556561
109,"12-10, Drottning Silvia",2024-04-06,0.02967474,0.024337174,0.015648663,0.14693652,0.106784694,0.021051396,0.05485435,0.28112435
110,"12-10, Drottning Silvia",2024-04-07,0.003610649,0.0047194287,0.0055303946,0.061476167,0.014467608,0.005846633,0.038224597,0.2541036
111,"12-10, Drottning Silvia",2024-04-08,0.009195036,0.013583264,0.011364791,0.030917939,0.013717879,0.006308105,0.043439813,0.25503775
112,"12-10, Drottning Silvia",2024-04-09,0.0177003,0.01796497,0.011724904,0.08880782,0.052351944,0.011366406,0.05963049,0.27145633
113,"12-10, Drottning Silvia",2024-04-10,0.013964079,0.021487124,0.012832328,0.00560297,0.0070315967,0.025153084,0.0421279,0.25382647
114,"12-10, Drottning Silvia",2024-04-11,0.0086987,0.01612819,0.009873579,0.042826027,0.0445905,0.015207113,0.046165742,0.25182247
115,"12-10, Drottning Silvia",2024-04-12,0.00863572,0.011949031,0.010734632,0.016827935,0.042348012,0.003718409,0.021713523,0.25506726
116,"12-10, Drottning Silvia",2024-04-13,0.009558081,0.012891245,0.010283864,0.007024486,0.015418649,0.008681421,0.055203978,0.25504982
117,"12-10, Drottning Silvia",2024-04-14,0.009313217,0.011286778,0.0073268875,0.029129513,0.0717655,0.02278434,0.044105437,0.24939941
118,"12-10, Drottning Silvia",2024-04-15,0.010458444,0.01275604,0.011435581,0.013720745,0.012797188,0.005331638,0.050171062,0.25506523
119,"12-10, Drottning Silvia",2024-04-16,0.024496872,0.030064939,0.020378225,0.043749943,0.10036832,0.010368777,0.049048252,0.25679278
120,"12-10, Drottning Silvia",2024-04-17,0.014006982,0.008364147,0.008724716,0.015527934,0.03267885,0.0030891548,0.057483114,0.25204718
121,"12-10, Drottning Silvia",2024-04-18,0.008874028,0.011980105,0.010824458,0.012081886,0.010763039,0.0071348175,0.08654415,0.25739253
122,"12-10, Drottning Silvia",2024-04-19,0.016708888,0.023839664,0.018290333,0.058402907,0.15428147,0.0023393596,0.045103837,0.25211573
123,"12-10, Drottning Silvia",2024-04-20,0.023405848,0.01110822,0.01140599,0.030547429,0.048620917,0.0056733587,0.06715998,0.25081044
124,"12-10, Drottning Silvia",2024-04-21,0.011099284,0.017877983,0.012724421,0.006917004,0.0077291443,0.011493954,0.06686033,0.25275043
125,"12-10, Drottning Silvia",2024-04-23,0.01478079,0.025223803,0.018490821,0.010383403,0.014026954,0.004256656,0.049464814,0.2548913
126,"12-10, Drottning Silvia",2024-04-27,0.0069292937,0.0037621388,0.005877625,0.012612211,0.008147427,0.004951602,0.04793835,0.25415546
127,"12-10, Drottning Silvia",2024-04-28,0.00958817,0.017961191,0.016733598,0.01598957,0.006035759,0.0021059387,0.042085547,0.25314888
128,"12-10, Drottning Silvia",2024-04-30,0.020327145,0.0049262964,0.014576886,0.032680135,0.06875467,0.0030161515,0.028633753,0.262275
129,"12-10, Drottning Silvia",2024-05-01,0.0073242914,0.008430407,0.014714174,0.010496152,0.024497282,0.008974522,0.1303312,0.25812408
130,"12-10, Drottning Silvia",2024-05-02,0.059196975,0.0075295833,0.018860186,0.012666941,0.023103707,0.008534236,0.08078981,0.26467487
131,"12-10, Drottning Silvia",2024-05-03,0.014333524,0.011750905,0.01807458,0.023845688,0.035527594,0.013663124,0.07023357,0.2488929
132,"12-10, Drottning Silvia",2024-05-06,0.08426346,0.084653795,0.13369387,0.065314665,0.120922215,0.027279496,0.18460849,0.28875098
133,"12-10, Drottning Silvia",2024-05-08,0.061570268,0.02216339,0.030410398,0.040799536,0.05693417,0.015135842,0.02795789,0.25844225
134,"12-10, Drottning Silvia",2024-05-10,0.012504904,0.02068692,0.017229585,0.016423572,0.010186938,0.009762591,0.052071605,0.25659102
135,"12-10, Drottning Silvia",2024-05-11,0.012912772,0.018021455,0.015728887,0.011035985,0.017333806,0.008694921,0.056761052,0.26267073
136,"12-10, Drottning Silvia",2024-05-12,0.007727825,0.008491672,0.00680491,0.012073598,0.00743429,0.0035187209,0.03063576,0.25321656
137,"12-10, Drottning Silvia",2024-05-13,0.010374941,0.012460523,0.011544161,0.019639332,0.015270446,0.010870444,0.040327705,0.26567826
138,"12-10, Drottning Silvia",2024-05-14,0.014861716,0.021836689,0.01709646,0.011335013,0.013284621,0.0066796537,0.035962358,0.25602052
139,"12-10, Drottning Silvia",2024-05-15,0.005316053,0.0073590497,0.009259829,0.0043383543,0.0047215964,0.0013622717,0.04490805,0.255093
140,"12-10, Drottning Silvia",2024-05-16,0.013573559,0.01775739,0.013750077,0.0063764676,0.010603193,0.0029810239,0.03175461,0.25175482
141,"12-10, Drottning Silvia",2024-05-17,0.014618538,0.011869727,0.009601879,0.004947884,0.009081119,0.0019047032,0.028361047,0.25273305
142,"12-10, Drottning Silvia",2024-05-18,0.011194875,0.013147553,0.011879796,0.0077029373,0.011268951,0.0044692564,0.03412697,0.25385246
143,"12-10, Drottning Silvia",2024-05-19,0.01380098,0.017143304,0.013353492,0.010876424,0.010244452,0.011132791,0.041089177,0.25647607
144,"12-10, Drottning Silvia",2024-05-20,0.011501278,0.014747286,0.011994584,0.014308859,0.01113716,0.007947158,0.067236625,0.25911063
145,"12-10, Drottning Silvia",2024-05-27,0.013193627,0.017718907,0.012368453,0.025294755,0.013947023,0.00799495,0.05655906,0.26347262
146,"12-10, Drottning Silvia",2024-05-30,0.017413605,0.026372507,0.021447223,0.009932661,0.0156209795,0.0063964794,0.057640314,0.2560009
147,"12-10, Drottning Silvia",2024-05-31,0.009320858,0.012467675,0.010686534,0.0061870744,0.0073515577,0.0027641943,0.05845957,0.25312826
148,"12-10, Drottning Silvia",2024-06-01,0.012714495,0.019837342,0.014751192,0.006828094,0.009479505,0.0013792668,0.056247912,0.2551815
149,"12-10, Drottning Silvia",2024-06-02,0.008643701,0.011590988,0.00896466,0.0065839095,0.008122082,0.0036216327,0.048234645,0.25079572
150,"12-10, Drottning Silvia",2024-06-03,0.019362219,0.016445383,0.014428766,0.012812857,0.014946422,0.008270959,0.03711774,0.26152834
151,"12-10, Drottning Silvia",2024-06-04,0.007880582,0.010931306,0.010279534,0.0065467595,0.0074585564,0.0038012676,0.02894867,0.25525334
152,"12-10, Drottning Silvia",2024-06-05,0.006881704,0.010875637,0.008805715,0.00539164,0.006558609,0.01743536,0.047105547,0.2549406
153,"12-10, Drottning Silvia",2024-06-06,0.009323093,0.014176187,0.011109676,0.0060030557,0.008496266,0.007270088,0.045039285,0.25535536
154,"12-10, Drottning Silvia",2024-06-07,0.0076687266,0.010813239,0.010111604,0.004649796,0.005654081,0.0037485878,0.038068347,0.25163838
155,"12-10, Drottning Silvia",2024-06-08,0.009790932,0.010291181,0.01453269,0.0048197666,0.006770647,0.003733148,0.027439069,0.25373682
156,"12-10, Drottning Silvia",2024-06-09,0.01070892,0.02255627,0.015498384,0.008503807,0.00747877,0.01230751,0.051332813,0.25056055
157,"12-10, Drottning Silvia",2024-06-11,0.008693796,0.012722913,0.009720094,0.01192116,0.0075515835,0.0050259777,0.038422275,0.25255
158,"12-10, Drottning Silvia",2024-06-12,0.0131786,0.017255101,0.014125468,0.022262681,0.013855391,0.008777109,0.04449155,0.2649373
159,"12-10, Drottning Silvia",2024-06-13,0.008099806,0.012085855,0.009983505,0.007882371,0.007435274,0.004635835,0.030277228,0.2575532
160,"12-10, Drottning Silvia",2024-06-14,0.007936952,0.01288629,0.009887663,0.008070267,0.008281426,0.003228782,0.02971022,0.25739157
161,"12-10, Drottning Silvia",2024-06-15,0.0085432725,0.00965952,0.008901162,0.006549955,0.008246842,0.0058802734,0.036096353,0.25519633
162,"12-10, Drottning Silvia",2024-06-16,0.010719573,0.01505632,0.011547988,0.012607092,0.009215226,0.0063567455,0.031067142,0.2561104
163,"12-10, Drottning Silvia",2024-06-17,0.012422098,0.014800781,0.013548926,0.018536653,0.016110556,0.009479866,0.050702497,0.26154715
164,"12-10, Drottning Silvia",2024-06-18,0.01254117,0.022273622,0.018479804,0.008576057,0.013963233,0.00776203,0.0321658,0.25230038
165,"12-10, Drottning Silvia",2024-06-19,0.029774839,0.040821403,0.01923639,0.0762494,0.033291753,0.03351403,0.075112194,0.31530288
166,"12-10, Drottning Silvia",2024-06-20,0.014582925,0.017583553,0.012911655,0.008608236,0.0103126075,0.015724514,0.047536142,0.25462744
167,"12-10, Drottning Silvia",2024-06-21,0.01168945,0.018021848,0.013456031,0.004146006,0.0078108013,0.0032620325,0.025215263,0.2499933
168,"12-10, Drottning Silvia",2024-06-22,0.009667647,0.008309317,0.008990154,0.012209593,0.008640863,0.0066674515,0.039038975,0.2569709
169,"12-10, Drottning Silvia",2024-06-23,0.009370185,0.011663897,0.010744113,0.014778467,0.011458393,0.0071133818,0.049750447,0.26063076
170,"12-10, Drottning Silvia",2024-06-25,0.0121707,0.014925536,0.014201518,0.019596035,0.012265063,0.011037955,0.05578907,0.26243007
171,"12-10, Drottning Silvia",2024-06-26,0.0055001387,0.010303686,0.009154608,0.0044570616,0.005324435,0.0026507478,0.030309279,0.2511883
172,"12-10, Drottning Silvia",2024-06-27,0.011368896,0.0134633435,0.010460844,0.019457685,0.013671549,0.00676192,0.044497762,0.2633088
173,"12-10, Drottning Silvia",2024-06-28,0.005593359,0.009372337,0.0085171005,0.009373526,0.007877427,0.002211467,0.029767517,0.25423133
174,"12-10, Drottning Silvia",2024-06-29,0.011895864,0.020396808,0.015669249,0.010609248,0.012836387,0.018123586,0.04663628,0.25769767
175,"12-10, Drottning Silvia",2024-06-30,0.014577403,0.032017935,0.018596914,0.007912046,0.010263211,0.0036087984,0.04199272,0.25093454
176,"12-10, Drottning Silvia",2024-07-01,0.013661786,0.017749516,0.016147112,0.012817949,0.0119256545,0.008177876,0.042692397,0.25581816
177,"12-10, Drottning Silvia",2024-07-02,0.0072330995,0.0061603095,0.007163364,0.008369776,0.008925332,0.0020170538,0.03394485,0.25364122
178,"12-10, Drottning Silvia",2024-07-03,0.018052394,0.012530478,0.01395289,0.014502458,0.010405761,0.0057324986,0.048578937,0.25752315
179,"12-10, Drottning Silvia",2024-07-04,0.015222848,0.023081517,0.015593123,0.009175562,0.008358165,0.014161301,0.029754838,0.25502282
180,"12-10, Drottning Silvia",2024-07-05,0.011001629,0.010417599,0.009736111,0.0037109095,0.0065622507,0.0054783067,0.030086916,0.25364733
181,"12-10, Drottning Silvia",2024-07-06,0.012674146,0.01881604,0.014942915,0.005359699,0.009297598,0.0076579466,0.037567813,0.2538898
182,"12-10, Drottning Silvia",2024-07-07,0.011546224,0.00803646,0.0057563777,0.0083992975,0.006632749,0.03343567,0.041712414,0.25281864
183,"12-10, Drottning Silvia",2024-07-08,0.01483943,0.021287227,0.016113874,0.011048719,0.009942904,0.009431546,0.047585662,0.25939777
184,"12-10, Drottning Silvia",2024-07-10,0.01040035,0.011336275,0.008789799,0.011595308,0.011287835,0.009632003,0.056943502,0.25442547
185,"12-10, Drottning Silvia",2024-07-11,0.012395655,0.015376964,0.012135161,0.011716398,0.010823924,0.0066106855,0.045415267,0.25611252
186,"12-10, Drottning Silvia",2024-07-13,0.0063797035,0.0077209407,0.0074516223,0.0059523163,0.007103463,0.0051916153,0.047081687,0.25332487
187,"12-10, Drottning Silvia",2024-07-14,0.011601605,0.012581552,0.009571791,0.0046628295,0.0067082234,0.008796442,0.036970876,0.24987596
188,"12-10, Drottning Silvia",2024-07-15,0.007974506,0.01248353,0.010527794,0.0067547956,0.009036864,0.0053855423,0.037402444,0.2536969
